,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9289340101522843,0.9705882352941176,0.9,0.9339622641509434
Logistic Regression,0.934010152284264,0.9619047619047619,0.9181818181818182,0.9395348837209303
KNN,0.9289340101522843,0.9705882352941176,0.9,0.9339622641509434
Decision Tree,0.9086294416243654,0.9259259259259259,0.9090909090909091,0.9174311926605504
Support Vector Classifier,0.9390862944162437,1.0,0.8909090909090909,0.9423076923076923
XGBoost,0.934010152284264,0.9619047619047619,0.9181818181818182,0.9395348837209303
